client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199324.mp3	The following were the members for Hastings.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199331.mp3	In the afternoon the Prussian troops withdrew from the occupied positions as ordered.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199358.mp3	Wang went to school in New Mexico and Nevada.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199373.mp3	John and Lydia Swift.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199376.mp3	She grew up in the township of Pleasant Point in rural south Canterbury.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199378.mp3	The single flower is held noticeably above the leaf.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199387.mp3	At times they lived outside Scotland and at times they lived apart.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199388.mp3	Roger married Christiana.	4	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199389.mp3	These sculptures are on display in Swat Museum.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199402.mp3	The springs are located between two forks of the Candelaria fault.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199428.mp3	He served on the local school.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199510.mp3	It’s about the difference between state media and the fourth estate.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199512.mp3	After his death an updated edition was written by Bob James.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199534.mp3	Hawkins married four times.	2	0			United States English	en	
1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863	common_voice_en_32199567.mp3	Nothing in it says we should take souls.	4	0			United States English	en	
