client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
00d443b51ccb99c6c13ca3427678080ece4fc5aefe9cb65ccd051790b806d4a48197ec7272ce4779d7bb087ea330eb941702812cbe6ef5bb714c10998ec8b938	common_voice_en_32371106.mp3	Coles Branch is underlaid by the Deep River Basin.	2	0	sixties	male		en	
020f00302b130a7f0094fcf65c580e502b2584e68b0bb515e363d644a895f7ea834350eb56603d451a88b0869d00304cb816fbb1e8a5d3986b45066ad526eed3	common_voice_en_32646599.mp3	It serves to support many other works.	2	0				en	
024294f8be5085910eb128966779b03f2ea3669ed55bf51035e1f544053f9cd72ff418a92c58f2f82f81c0e651257998023103a0cc00878e645c0f689fcbc838	common_voice_en_32703291.mp3	He was the chief clerk of the Chicago and Northwestern Railroad.	4	2				en	
05bf98ddeee61ab852955ee2bae7296140b7f7da622b66307e26117a6b37ce56c2256847ac5bfc47489ba41b9102c5ee3c968fc45007a305a04e2a47e59c27a4	common_voice_en_32542436.mp3	Other collaborations on the project include Jon Randall and Billy Montana.	2	0			United States English	en	
06c53aec09bca54d5587147ee1bfcc0a9e2b4162fb75daa79b7fe286dfec0732ff4dcae7125393b19a31f66c66c4bd8cf89665b4dee7b446429efd029e225c59	common_voice_en_32825553.mp3	Finally he returns home to rebuild and rehabilitate his sister.	2	0	fourties	male	Irish English	en	
0716c31f93060f09df88184c88e347d6e191286ef6d3b691615e58c69df8626bc1b5c0d9e1bf5968bb9461175d103b46e291998b71621b3ee198f5d32c8b82d5	common_voice_en_32661886.mp3	It has also been identified in Soviet involvement with the Albert Sabin polio vaccine.	2	0	fourties	male	England English	en	
07babef9cc79f2c23190f9824e59e0e770ee5a5cde8b84a8c47e66f14d645e06f8d6653e1af592a5feb0868568489ae9e80de6c9b55f2c2444e871b491847306	common_voice_en_32289174.mp3	The palace was rebuilt with the same stones.	2	0				en	
07d3d922297a7ff95c0af1273ea9511f05d9e73ad7eccbbc41f21be8c897b482c9e212941a01874135df63f60c8d07ca57e9fa3b9716f06c3c58a01bda4c4eee	common_voice_en_32133713.mp3	He was employed in the coal industry before assuming office.	2	0	twenties	male		en	
07f310f0cc039ba964ea9c79e060ca7dee1abf0483339dbf373a227a4a82a94fa55e06d3937bd1f8b0642cccf7c553447594f0066f77cf9e5e0ef30c26f43e36	common_voice_en_32681548.mp3	Eleven of the losses were by six points are fewer.	2	0	fourties	male	United States English	en	
08172ae7a0df6fdae1976164e9ea525e7c06fda57276ee7b33b9e8faa95407425723d53a7e3eb92f2195c5b52613f335c13e639ac61b723857f4b20906d52a6a	common_voice_en_32330980.mp3	These songs were the result.	2	0				en	
08b7eb660ea4bc63ac6e1cbae979bc58be881c387d0afe43529b524e6883e279718289ced539da796c5b0eb619351fe50cb99b7cbcfe8bf4731380a0815fe6f2	common_voice_en_31959837.mp3	Both teams made their debut in the Intercontinental Cup.	2	0				en	
096101d7f715356f1e38a02df9b19ca1c118deecd97b9234b42dbb0f68b220bf77b4ff2221fa64f4856f4993622260382e73185656151fec07cd9b3f4a8e8851	common_voice_en_32172524.mp3	Yes?	3	0				en	
09903aa6478caa2afd0a5621e85d66da2aa60bd1f88d08000a05e2f2ea181ebd464794e10d3df3ff3b1302aaf1d5ddbb2867803fc1ec82f8f7e7279da1629228	common_voice_en_31928563.mp3	He was awarded the Order of the Red Star.	5	0				en	
09f6eb49ac59d66919189af0aa0c173b8fbd9996c736a40d237a946d8480ea4709d908aed0d96a03f0e549a61890d821f3ec66d9f7325da613c966a1e1cf94d2	common_voice_en_32269930.mp3	He was the son of Admiral Henrik Bielke.	4	0	fifties	male	England English	en	
0a6647f532395c714fffb0f9cd17bb05c53d5048abb8219685fed80a3fa1ad342f2930919dc947f2c86c42e1e74273715fec0c8e53a5e7d4331ede74858fb3c9	common_voice_en_32260538.mp3	Kpalime Duga is the main village of the Kpalime Traditional Area.	2	0				en	
0a8127e9e3f8bf809179fd29f0148fde07efe60f699a4f4342d1e7329657b278eccdb1b95711d436138d8dfea7e65692d9e6691cbd8772f290716d146c94982d	common_voice_en_32320596.mp3	Pronotal disc with slightly opaque derm.	2	0				en	
0a8bace96c53fc5e43ce7845c80ee369b8cb75fcbb96aecbeb538a204c2f6f6b9509731eadc5d227ca95de84e2f0099a05448ebce574b56561d87f5a31cd5657	common_voice_en_32401348.mp3	He created what grew into the beacon service and the hydrographic services.	2	0				en	
0aab2a1be4fb87bd56a22b0bce0ca622fe52a0792f9394d41b2be156dbb2852ab748029f4c25d0b130a42c806d03e8a5ef05fe70506029c5e5d70bb538f70160	common_voice_en_32260551.mp3	Pickleweed is also an important nesting habitat for migrating birds.	2	0				en	
